LenderYield,ProsperScore,BorrowerState,Occupation,OriginationYear,CreditScoreRangeLower
0.082,7.0,CO,Professional,2014,680.0
0.0874,9.0,GA,Skilled Labor,2012,800.0
0.1985,4.0,MN,Executive,2013,680.0
0.1214,10.0,NM,Professional,2013,740.0
0.2612,2.0,KS,Sales - Retail,2013,680.0
0.1919,4.0,CA,Laborer,2013,700.0
0.0529,9.0,IL,Food Service,2013,820.0
0.0529,11.0,IL,Food Service,2013,820.0
0.2389,7.0,MD,Fireman,2012,640.0
0.1335,4.0,AL,Sales - Retail,2014,680.0
0.0934,8.0,AZ,Construction,2013,740.0
0.0849,8.0,VA,Computer Programmer,2013,740.0
0.3077,5.0,FL,Other,2012,700.0
0.2709,4.0,CA,Professional,2013,640.0
0.0874,7.0,PA,Sales - Commission,2013,740.0
0.2125,8.0,OR,Laborer,2013,680.0
0.1214,7.0,MN,Retail Management,2013,660.0
0.3034,2.0,NY,Other,2013,700.0
0.2319,5.0,IL,Skilled Labor,2013,680.0
0.152,5.0,LA,Other,2013,660.0
0.2529,3.0,CA,Engineer - Mechanical,2013,680.0
0.2709,3.0,NY,Sales - Commission,2013,660.0
0.082,9.0,CO,Executive,2010,700.0
0.156,4.0,PA,Military Enlisted,2013,720.0
0.1139,6.0,LA,Other,2014,740.0
0.0899,9.0,CA,Other,2012,740.0
0.3077,5.0,WI,Other,2012,680.0
0.1174,8.0,NY,Clerical,2014,660.0
0.0685,10.0,IL,Other,2010,760.0
0.1521,8.0,OH,Retail Management,2011,700.0
0.275,2.0,MN,Professional,2013,680.0
0.2369,6.0,NC,Teacher,2013,640.0
0.0659,9.0,IL,Other,2013,800.0
0.1625,4.0,WA,Other,2014,680.0
0.1985,8.0,MI,Other,2012,700.0
0.166,6.0,KS,Clergy,2013,640.0
0.1634,5.0,WA,Professional,2013,720.0
0.0999,7.0,NV,Executive,2013,740.0
0.1199,8.0,CO,Professional,2013,680.0
0.1419,6.0,NJ,Attorney,2013,720.0
0.0849,10.0,NV,Professional,2013,780.0
0.205,5.0,TX,Nurse (RN),2013,640.0
0.1699,8.0,AR,Nurse (RN),2011,640.0
0.1053,6.0,MI,Other,2013,720.0
