State,Quarter,Credit Score,Prosper Score,Lenders Yield,Number of Loans
AK,Q1 2010,660.0,3.66666666667,0.29,3
AK,Q1 2011,732.0,7.6,0.18038,5
AK,Q1 2012,695.555555556,6.55555555556,0.189233333333,9
AK,Q1 2013,688.888888889,4.0,0.206766666667,9
AK,Q1 2014,691.034482759,5.72413793103,0.146844827586,29
AK,Q2 2010,733.333333333,8.0,0.1455,3
AK,Q2 2011,684.0,5.6,0.25472,5
AK,Q2 2012,700.0,5.82352941176,0.218988235294,17
AK,Q2 2013,710.0,6.25,0.15485,12
AK,Q3 2010,660.0,1.0,0.34,1
AK,Q3 2011,717.142857143,6.85714285714,0.170785714286,7
AK,Q3 2012,676.0,3.4,0.2444,5
AK,Q3 2013,716.470588235,4.94117647059,0.180117647059,17
AK,Q4 2009,820.0,9.0,0.095,1
AK,Q4 2010,660.0,5.0,0.283225,4
AK,Q4 2011,717.777777778,6.44444444444,0.188088888889,9
AK,Q4 2012,700.0,6.44444444444,0.179088888889,9
AK,Q4 2013,691.818181818,6.09090909091,0.161690909091,22
AL,Q1 2010,688.421052632,7.31578947368,0.2271,19
AL,Q1 2011,712.380952381,6.90476190476,0.208647619048,21
AL,Q1 2012,704.507042254,5.98591549296,0.228483098592,71
AL,Q1 2013,707.843137255,5.0,0.198625490196,51
AL,Q1 2014,691.34751773,6.04964539007,0.142606382979,141
AL,Q2 2010,676.923076923,7.07692307692,0.225965384615,26
AL,Q2 2011,674.594594595,5.13513513514,0.246727027027,37
AL,Q2 2012,686.741573034,5.59550561798,0.231475280899,89
AL,Q2 2013,701.875,5.05208333333,0.192415625,96
AL,Q3 2009,673.333333333,7.66666666667,0.1805,6
AL,Q3 2010,682.352941176,6.47058823529,0.252,17
AL,Q3 2011,699.512195122,6.31707317073,0.222504878049,41
AL,Q3 2012,689.459459459,5.87837837838,0.230387837838,74
AL,Q3 2013,702.380952381,5.10317460317,0.182303174603,126
AL,Q4 2009,686.666666667,6.27777777778,0.225783333333,18
AL,Q4 2010,706.923076923,6.26923076923,0.236538461538,26
AL,Q4 2011,693.684210526,5.50877192982,0.231089473684,57
AL,Q4 2012,701.666666667,6.1,0.212576666667,60
AL,Q4 2013,685.026737968,5.42780748663,0.169773796791,187
AR,Q1 2010,672.727272727,7.45454545455,0.200954545455,11
AR,Q1 2011,690.0,5.9,0.25666,10
AR,Q1 2012,696.111111111,6.13888888889,0.224880555556,36
AR,Q1 2013,686.666666667,4.25,0.215808333333,24
AR,Q1 2014,684.462809917,5.31404958678,0.164161157025,121
AR,Q2 2010,708.571428571,8.0,0.2011,7
AR,Q2 2011,704.705882353,5.23529411765,0.241023529412,17
AR,Q2 2012,684.0,5.8,0.225297777778,45
AR,Q2 2013,700.0,4.97183098592,0.19186056338,71
AR,Q3 2009,713.333333333,8.0,0.178166666667,3
AR,Q3 2010,680.0,5.6,0.2349,5
AR,Q3 2011,697.6,6.0,0.234296,25
AR,Q3 2012,690.344827586,5.60344827586,0.224524137931,58
AR,Q3 2013,693.777777778,4.91111111111,0.188792222222,90
AR,Q4 2009,693.333333333,8.0,0.163725,12
AR,Q4 2010,701.818181818,6.45454545455,0.225527272727,11
AR,Q4 2011,691.578947368,5.55263157895,0.234907894737,38
AR,Q4 2012,690.909090909,6.12121212121,0.219160606061,33
AR,Q4 2013,690.072992701,5.21167883212,0.1732,137
AZ,Q1 2010,712.0,7.48,0.181784,25
AZ,Q1 2011,720.0,7.21739130435,0.194765217391,23
AZ,Q1 2012,695.641025641,6.15384615385,0.210798717949,78
AZ,Q1 2013,706.4,5.04,0.18546,50
AZ,Q1 2014,691.941747573,6.07281553398,0.140925728155,206
AZ,Q2 2010,710.526315789,7.89473684211,0.189589473684,19
AZ,Q2 2011,691.764705882,5.26470588235,0.234617647059,34
AZ,Q2 2012,694.936708861,5.83544303797,0.227963291139,79
AZ,Q2 2013,710.625,5.0234375,0.17870703125,128
AZ,Q3 2009,713.333333333,8.5,0.132383333333,6
AZ,Q3 2010,720.0,6.83333333333,0.204191666667,24
AZ,Q3 2011,712.972972973,6.24324324324,0.204627027027,37
AZ,Q3 2012,706.746987952,6.43373493976,0.213259036145,83
AZ,Q3 2013,700.597014925,5.16417910448,0.181062686567,134
AZ,Q4 2009,696.842105263,7.63157894737,0.204878947368,19
AZ,Q4 2010,725.0,6.9375,0.2023125,16
AZ,Q4 2011,688.0,5.24,0.225822,50
AZ,Q4 2012,709.210526316,6.13157894737,0.197243421053,76
AZ,Q4 2013,683.666666667,5.66666666667,0.16443375,240
CA,Q1 2010,703.837209302,7.77906976744,0.178294767442,172
CA,Q1 2011,718.737864078,7.18446601942,0.193915048544,206
CA,Q1 2012,709.360374415,6.375975039,0.197383775351,641
CA,Q1 2013,709.421841542,5.37473233405,0.181617558887,467
CA,Q1 2014,692.338762215,6.14527687296,0.141216026059,1535
CA,Q2 2010,701.428571429,7.76020408163,0.183796428571,196
CA,Q2 2011,692.585034014,5.69387755102,0.223353401361,294
CA,Q2 2012,701.903114187,6.1401384083,0.208226816609,578
CA,Q2 2013,708.690744921,5.44018058691,0.176048871332,886
CA,Q3 2009,704.8,8.48,0.151673333333,75
CA,Q3 2010,704.320987654,6.95679012346,0.210525925926,162
CA,Q3 2011,702.713864307,5.87610619469,0.22534100295,339
CA,Q3 2012,704.053156146,6.22757475083,0.206087873754,602
CA,Q3 2013,704.17710944,5.56390977444,0.172007769424,1197
CA,Q4 2009,715.628415301,7.78142076503,0.182144262295,183
CA,Q4 2010,704.882629108,6.55868544601,0.226584037559,213
CA,Q4 2011,699.010752688,5.86666666667,0.215039354839,465
CA,Q4 2012,705.609756098,6.53455284553,0.194074593496,492
CA,Q4 2013,687.800741918,6.04345521993,0.160257869634,1887
CO,Q1 2010,706.0,7.16666666667,0.194956666667,30
CO,Q1 2011,713.888888889,6.86111111111,0.2069,36
CO,Q1 2012,713.483146067,6.33707865169,0.189479775281,89
CO,Q1 2013,708.395061728,5.18518518519,0.184158024691,81
CO,Q1 2014,690.612244898,5.95918367347,0.146661632653,245
CO,Q2 2010,706.0,7.8,0.167413333333,30
CO,Q2 2011,690.588235294,6.05882352941,0.213749019608,51
CO,Q2 2012,708.888888889,6.01111111111,0.209084444444,90
CO,Q2 2013,705.6,5.4,0.175344,125
CO,Q3 2009,692.0,7.73333333333,0.17856,15
CO,Q3 2010,692.0,6.0,0.246505,20
CO,Q3 2011,706.774193548,5.64516129032,0.225816129032,62
CO,Q3 2012,701.308411215,5.92523364486,0.217387850467,107
CO,Q3 2013,706.666666667,5.55128205128,0.169001282051,156
CO,Q4 2009,718.139534884,7.23255813953,0.185386046512,43
CO,Q4 2010,701.764705882,6.11764705882,0.231011764706,34
CO,Q4 2011,700.465116279,5.86046511628,0.212302325581,86
CO,Q4 2012,710.091743119,6.43119266055,0.180943119266,109
CO,Q4 2013,688.372093023,5.926910299,0.164451495017,301
CT,Q1 2010,714.285714286,8.52380952381,0.143438095238,21
CT,Q1 2011,704.705882353,6.91176470588,0.224923529412,34
CT,Q1 2012,707.619047619,6.0,0.213204761905,63
CT,Q1 2013,712.112676056,5.98591549296,0.170595774648,71
CT,Q1 2014,699.2,6.265,0.1366035,200
CT,Q2 2010,716.8,8.12,0.1634,25
CT,Q2 2011,701.081081081,5.40540540541,0.241686486486,37
CT,Q2 2012,697.647058824,6.1568627451,0.210448039216,102
CT,Q2 2013,719.69924812,5.42105263158,0.177148120301,133
CT,Q3 2009,702.222222222,8.22222222222,0.172088888889,9
CT,Q3 2010,727.142857143,7.71428571429,0.154335714286,14
CT,Q3 2011,696.296296296,5.75925925926,0.237692592593,54
CT,Q3 2012,701.25,6.19791666667,0.217079166667,96
CT,Q3 2013,705.284974093,5.41450777202,0.175876165803,193
CT,Q4 2009,725.217391304,7.30434782609,0.18877826087,23
CT,Q4 2010,714.736842105,6.94736842105,0.192878947368,19
CT,Q4 2011,703.768115942,6.13043478261,0.21937826087,69
CT,Q4 2012,707.297297297,6.51351351351,0.195508108108,74
CT,Q4 2013,685.102880658,5.70781893004,0.167383127572,243
DC,Q1 2010,726.666666667,9.0,0.113866666667,3
DC,Q1 2011,700.0,7.28571428571,0.197392857143,14
DC,Q1 2012,713.333333333,5.94444444444,0.192855555556,18
DC,Q1 2013,705.882352941,6.23529411765,0.164411764706,17
DC,Q1 2014,701.025641026,7.25641025641,0.118946153846,39
DC,Q2 2010,655.0,6.0,0.29875,4
DC,Q2 2011,712.307692308,7.23076923077,0.162369230769,13
DC,Q2 2012,705.0,6.46428571429,0.200675,28
DC,Q2 2013,716.842105263,5.94736842105,0.164531578947,19
DC,Q3 2009,710.0,9.5,0.0969,2
DC,Q3 2011,681.25,6.5,0.21519375,16
DC,Q3 2012,711.818181818,7.45454545455,0.164009090909,22
DC,Q3 2013,700.512820513,6.4358974359,0.166076923077,39
DC,Q4 2009,735.0,7.25,0.163,8
DC,Q4 2010,720.0,7.4,0.17358,10
DC,Q4 2011,706.666666667,6.66666666667,0.192842857143,21
DC,Q4 2012,724.210526316,7.36842105263,0.146494736842,19
DC,Q4 2013,698.787878788,6.9696969697,0.135296969697,33
DE,Q1 2010,706.666666667,8.66666666667,0.135833333333,3
DE,Q1 2011,722.857142857,6.71428571429,0.225714285714,7
DE,Q1 2012,725.0,6.375,0.20451875,16
DE,Q1 2013,692.5,3.375,0.2158375,8
DE,Q1 2014,704.705882353,6.76470588235,0.126811764706,51
DE,Q2 2010,750.0,8.75,0.082,4
DE,Q2 2011,695.0,5.25,0.2194,4
DE,Q2 2012,702.0,7.0,0.19561,20
DE,Q2 2013,722.142857143,5.39285714286,0.154817857143,28
DE,Q3 2009,720.0,8.33333333333,0.1428,3
DE,Q3 2010,732.0,7.6,0.21,5
DE,Q3 2011,653.333333333,5.5,0.2549,6
DE,Q3 2012,703.636363636,7.27272727273,0.186954545455,11
DE,Q3 2013,697.857142857,5.21428571429,0.175603571429,28
DE,Q4 2009,680.0,6.33333333333,0.2445,3
DE,Q4 2010,715.0,6.25,0.25125,4
DE,Q4 2011,738.571428571,5.78571428571,0.193528571429,14
DE,Q4 2012,708.571428571,6.07142857143,0.207685714286,14
DE,Q4 2013,690.0,6.25,0.161369444444,36
FL,Q1 2010,706.585365854,7.82926829268,0.175697560976,82
FL,Q1 2011,714.959349593,7.11382113821,0.200883739837,123
FL,Q1 2012,707.124183007,6.1568627451,0.210273856209,306
FL,Q1 2013,705.145228216,5.3734439834,0.186181327801,241
FL,Q1 2014,693.839541547,5.87535816619,0.146589684814,698
FL,Q2 2010,701.714285714,7.74285714286,0.184888571429,105
FL,Q2 2011,700.125786164,5.88679245283,0.225993081761,159
FL,Q2 2012,698.60058309,6.04373177843,0.21625451895,343
FL,Q2 2013,708.708860759,5.01772151899,0.18462556962,395
FL,Q3 2009,715.384615385,8.26923076923,0.138976923077,26
FL,Q3 2010,724.912280702,7.47368421053,0.19058245614,57
FL,Q3 2011,694.979079498,5.82845188285,0.235179079498,239
FL,Q3 2012,698.771498771,6.19901719902,0.213332186732,407
FL,Q3 2013,699.850746269,5.08582089552,0.183420895522,536
FL,Q4 2009,713.033707865,7.56179775281,0.191385393258,89
FL,Q4 2010,703.703703704,6.38888888889,0.23274537037,108
FL,Q4 2011,699.363957597,5.95759717314,0.216253003534,283
FL,Q4 2012,701.384083045,6.3598615917,0.203541176471,289
FL,Q4 2013,688.757539204,5.60916767189,0.164949819059,829
GA,Q1 2010,714.736842105,8.0701754386,0.169198245614,57
GA,Q1 2011,710.4,6.94666666667,0.206908,75
GA,Q1 2012,706.257668712,6.42944785276,0.194726993865,163
GA,Q1 2013,707.938931298,5.70992366412,0.181345801527,131
GA,Q1 2014,691.835748792,6.31884057971,0.142392995169,414
GA,Q2 2010,690.0,7.41428571429,0.211535714286,70
GA,Q2 2011,686.534653465,5.84158415842,0.212123762376,101
GA,Q2 2012,701.314553991,6.00469483568,0.216349295775,213
GA,Q2 2013,706.007905138,5.45059288538,0.178431225296,253
GA,Q3 2009,696.666666667,7.23333333333,0.185596666667,30
GA,Q3 2010,702.0,6.9,0.20655,60
GA,Q3 2011,693.2,5.88,0.222676666667,150
GA,Q3 2012,698.031496063,6.27165354331,0.211435826772,254
GA,Q3 2013,701.618122977,5.42071197411,0.172875728155,309
GA,Q4 2009,713.258426966,7.76404494382,0.184111235955,89
GA,Q4 2010,694.520547945,6.57534246575,0.233145205479,73
GA,Q4 2011,703.068181818,6.0,0.211557954545,176
GA,Q4 2012,701.529411765,6.27647058824,0.202168235294,170
GA,Q4 2013,689.291338583,5.9468503937,0.16443976378,508
HI,Q1 2010,713.333333333,7.66666666667,0.1766,3
HI,Q1 2011,696.0,7.2,0.19766,5
HI,Q1 2012,723.529411765,6.58823529412,0.1877,17
HI,Q1 2013,703.75,5.125,0.19291875,16
HI,Q1 2014,694.230769231,6.15384615385,0.146003846154,52
HI,Q2 2010,696.0,8.4,0.1734,5
HI,Q2 2011,700.0,6.42857142857,0.206628571429,7
HI,Q2 2012,700.833333333,6.33333333333,0.2039125,24
HI,Q2 2013,691.578947368,4.73684210526,0.208194736842,38
HI,Q3 2009,720.0,9.0,0.1391,2
HI,Q3 2010,710.0,9.0,0.14575,2
HI,Q3 2011,717.777777778,6.0,0.238133333333,9
HI,Q3 2012,721.333333333,7.4,0.18404,15
HI,Q3 2013,698.235294118,5.44117647059,0.184385294118,34
HI,Q4 2009,630.0,6.25,0.29335,4
HI,Q4 2010,720.0,8.0,0.182875,4
HI,Q4 2011,732.307692308,6.30769230769,0.212930769231,13
HI,Q4 2012,706.666666667,6.16666666667,0.1982,12
HI,Q4 2013,690.256410256,5.67948717949,0.161688461538,78
ID,Q1 2010,715.555555556,7.77777777778,0.182711111111,9
